Words,Sentiment
Input,+
Output,+
Parameter,+
Argument,+
Function,+
Method,+
Variable,+
Class,+
Instance,+
Object,+
Return,+
Error,+
Exception,+
Boolean,+
String,+
Integer,+
Float,+
Loop,+
Condition,+
Parameterize,+
Validate,+
Implement,+
Initialize,+
Iterate,+
Reference,+
Instantiate,+
Access,+
Modify,+
Validate,+
Invoke,+
Initialize,+
Declare,+
Define,+
Parse,+
Execute,+
Terminate,+
Append,+
Retrieve,+
Merge,+
Split,+
Concatenate,+
Compare,+
Filter,+
Validate,+
Initialize,+
Synchronize,+
Generate,+
Encrypt,+
Decrypt,+
Authenticate,+
Authorize,+
Serialize,+
Deserialize,+
Encode,+
Decode,+
Format,+
Compress,+
Decompress,+
Optimize,+
Initialize,+
Execute,+
Implement,+
Instantiate,+
Exceed,+
Increment,+
Decrement,+
Iterate,+
Return,+
Evaluate,+
Initialize,+
Compare,+
Concatenate,+
Iterate,+
Verify,+
Retrieve,+
Synchronize,+
Terminate,+
Parse,+
Filter,+
Authorize,+
Compress,+
Decompress,+
Optimize,+
Increment,+
Decrement,+
Evaluate,+
Override,+
Customize,+
Initialize,+
Compare,+
Concatenate,+
Iterate,+
Retrieve,+
Synchronize,+
Terminate,+
Parse,+
Filter,+
Authorize,+
Compress,+
Decompress,+
Stuff,-
Things,-
Stuff,-
Data,-
Thingy,-
Doohickey,-
Stuff,-
Thing,-
Instance,-
Object,-
Go,-
Oopsie,-
Uh-oh,-
True/false,-
Text,-
Number,-
Decimal,-
Thingy,-
Thing,-
Thingify,-
Check,-
Do,-
Set up,-
Do stuff,-
Thing,-
Make,-
Get,-
Change,-
Check,-
Call,-
Start,-
Say,-
Describe,-
Break down,-
Run,-
Stop,-
Add,-
Get,-
Combine,-
Break apart,-
Join,-
Check against,-
Remove,-
Check,-
Start,-
Coordinate,-
Make,-
Make secret,-
Make not secret,-
Check identity,-
Allow,-
Convert to string,-
Convert from string,-
Convert to code,-
Convert from code,-
Arrange,-
Make smaller,-
Make bigger,-
Improve efficiency,-
Start,-
Run,-
Do,-
Create,-
Go over,-
Increase,-
Decrease,-
Loop,-
Give back,-
Check,-
Start,-
Check against,-
Join,-
Loop,-
Check,-
Get,-
Coordinate,-
Stop,-
Break down,-
Remove,-
Allow,-
Make smaller,-
Make bigger,-
Improve efficiency,-
Increase,-
Decrease,-
Check,-
Replace,-
Make special,-
Start,-
Check against,-
Join,-
Loop,-
Get,-
Coordinate,-
Stop,-
Break down,-
Remove,-
Allow,-
Make smaller,-
Make bigger,-